random_seed,noisy_measurements_sigma,mae_a,mae_h,accuracy,runtime
167,0.1,8.755,142.293,0.08,1.849
16,0.1,5.505,50.988,0.02,1.875
17,0.1,14.709,141.097,0.02,1.887
167,0.15,8.782,142.154,0.08,1.84
16,0.15,14.354,116.552,0.0,1.888
17,0.15,14.542,141.344,0.04,1.924
167,0.2,8.85,142.881,0.12,1.855
16,0.2,14.154,117.027,0.0,1.835
17,0.2,14.344,141.746,0.04,1.871
167,0.25,8.977,141.098,0.12,1.897
16,0.25,13.956,117.625,0.0,1.873
17,0.25,14.114,142.25,0.04,1.859
167,0.3,2.843,11.69,0.36,1.947
16,0.3,6.423,55.485,0.0,1.843
17,0.3,13.956,141.995,0.04,1.856
167,0.4,10.207,165.746,0.08,1.842
16,0.4,5.268,24.052,0.0,1.876
17,0.4,13.512,143.377,0.04,1.824
167,0.5,5.759,53.047,0.02,1.944
16,0.5,7.708,44.862,0.14,1.827
17,0.5,8.144,62.92,0.02,1.854
