random_seed,noisy_measurements_sigma,mae_a,mae_h,accuracy,runtime
167,0.1,1.716,28.109,0.24,4.012
16,0.1,1.414,9.309,0.137,4.083
17,0.1,1.92,15.136,0.128,4.071
167,0.15,1.923,27.73,0.203,4.05
16,0.15,1.624,9.437,0.109,4.14
17,0.15,2.109,14.956,0.098,4.072
167,0.2,2.165,27.048,0.158,4.042
16,0.2,1.952,9.48,0.085,4.084
17,0.2,2.42,14.707,0.074,4.307
167,0.25,2.474,25.71,0.121,4.119
16,0.25,2.354,9.343,0.063,4.114
17,0.25,2.83,14.468,0.054,4.104
167,0.3,2.846,24.356,0.098,4.065
16,0.3,2.779,9.423,0.05,4.049
17,0.3,3.283,13.935,0.043,4.108
167,0.4,3.703,22.712,0.063,4.149
16,0.4,3.681,10.094,0.035,4.138
17,0.4,4.2,13.565,0.034,4.044
167,0.5,4.515,22.066,0.047,4.066
16,0.5,4.51,11.43,0.028,4.053
17,0.5,5.069,14.192,0.028,4.038
