random_seed,noisy_measurements_sigma,mae_a,mae_h,accuracy,runtime
167,0.1,0.328,411.408,1.0,2.444
16,0.1,0.527,344.861,0.92,2.463
17,0.1,0.616,307.577,0.94,2.473
167,0.15,0.687,435.931,1.0,2.429
16,0.15,1.085,395.325,0.86,2.448
17,0.15,1.265,332.86,0.92,2.426
167,0.2,1.156,470.458,1.0,2.443
16,0.2,1.707,414.665,0.9,2.421
17,0.2,2.19,450.358,0.82,2.478
167,0.25,1.718,536.004,0.96,2.449
16,0.25,2.504,510.392,0.86,2.441
17,0.25,3.219,587.822,0.76,2.431
167,0.3,2.315,590.511,0.96,2.449
16,0.3,3.256,580.175,0.82,2.467
17,0.3,4.148,740.389,0.66,2.447
167,0.4,3.609,825.978,0.84,2.447
16,0.4,4.851,876.928,0.58,2.444
17,0.4,5.744,877.773,0.5,2.456
167,0.5,4.889,1154.721,0.58,2.434
16,0.5,6.186,1199.678,0.38,2.45
17,0.5,7.24,1282.134,0.26,2.44
