random_seed,noisy_measurements_sigma,mae_a,mae_h,accuracy,runtime
167,0.1,0.334,0.43,0.96,3.058
16,0.1,0.377,0.474,0.92,3.094
17,0.1,0.444,0.361,0.94,3.07
167,0.15,0.666,0.492,1.0,3.104
16,0.15,0.766,0.965,0.86,3.148
17,0.15,0.912,0.721,0.9,3.079
167,0.2,1.128,0.852,1.0,3.098
16,0.2,1.216,1.144,0.9,3.099
17,0.2,1.591,1.766,0.82,3.069
167,0.25,1.682,1.461,0.96,3.229
16,0.25,1.838,2.112,0.86,3.154
17,0.25,2.404,3.135,0.76,3.128
167,0.3,2.269,2.056,0.96,3.121
16,0.3,2.457,2.806,0.82,3.068
17,0.3,3.16,4.638,0.66,3.093
167,0.4,3.531,4.489,0.84,3.074
16,0.4,3.828,5.481,0.58,3.092
17,0.4,4.498,6.151,0.46,3.164
167,0.5,4.812,7.991,0.54,3.046
16,0.5,5.149,8.743,0.42,3.096
17,0.5,5.854,9.764,0.24,3.073
