random_seed,noisy_measurements_sigma,mae_a,mae_h,accuracy,runtime
167,0.1,3.969,3.567,0.94,2.443
16,0.1,4.432,3.289,0.86,2.445
17,0.1,4.622,4.436,0.82,2.413
167,0.15,4.019,3.344,0.94,2.422
16,0.15,4.776,2.786,0.82,2.462
17,0.15,4.576,4.505,0.84,2.42
167,0.2,4.153,3.477,1.0,2.38
16,0.2,5.126,2.746,0.74,2.4
17,0.2,4.615,5.954,0.84,2.428
167,0.25,4.397,3.462,1.0,2.43
16,0.25,5.825,2.756,0.58,2.434
17,0.25,5.647,2.966,0.72,2.448
167,0.3,4.834,3.591,0.82,2.435
16,0.3,6.185,2.825,0.66,2.424
17,0.3,6.479,2.963,0.72,2.421
167,0.4,6.037,3.947,0.72,2.529
16,0.4,7.854,3.272,0.6,2.44
17,0.4,8.701,2.795,0.7,2.421
167,0.5,7.692,5.508,0.52,2.395
16,0.5,10.086,2.79,0.54,2.413
17,0.5,11.677,2.526,0.48,2.427
