random_seed,num_steps,mae_a,mae_h,accuracy,runtime
167,10,5.0,2.152,0.0,0.518
16,10,7.289,2.935,0.1,0.544
17,10,10.135,3.039,0.2,0.521
167,25,4.839,15.853,0.24,1.019
16,25,5.054,13.316,0.04,1.027
17,25,9.003,12.809,0.04,1.03
167,50,8.74,140.07,0.12,1.865
16,50,9.787,91.039,0.0,1.813
17,50,14.826,140.824,0.02,1.852
167,100,17.847,3967.538,0.06,3.516
16,100,30.085,3160.346,0.0,3.496
17,100,63.142,9918.545,0.02,3.51
167,250,323.621,2271218.335,0.008,8.265
16,250,1798.425,82367418.264,0.0,8.45
17,250,9098.694,2012748716.259,0.012,8.362
167,500,5088.4,25927971205.495,0.002,16.681
16,500,5391633.8,2007777561756939.0,0.002,16.617
17,500,2070339.579,2.371303291501501e+17,0.004,17.221
