random_seed,num_steps,mae_a,mae_h,accuracy,runtime
167,10,0.865,360.245,1.0,0.477
16,10,1.733,289.904,1.0,0.49
17,10,1.621,260.666,1.0,0.487
167,25,0.189,366.139,1.0,1.111
16,25,0.216,291.349,1.0,1.114
17,25,0.29,260.796,1.0,1.121
167,50,0.107,392.018,1.0,2.661
16,50,0.102,312.435,0.96,2.619
17,50,0.101,264.928,1.0,2.651
167,100,0.064,668.964,1.0,7.712
16,100,0.06,456.026,1.0,7.728
17,100,0.068,835.952,1.0,7.753
167,250,0.081,45233.781,1.0,38.984
16,250,0.493,2027044.339,1.0,39.0
17,250,2.399,31164070.346,1.0,39.12
167,500,2.131,166208430.922,1.0,143.503
16,500,473.063,21422467861038.88,1.0,146.24
17,500,3392189.726,4.885273900072605e+18,0.852,146.584
