random_seed,num_steps,mae_a,mae_h,accuracy,runtime
167,10,0.624,0.348,1.0,0.558
16,10,0.446,0.275,1.0,0.553
17,10,0.802,0.28,1.0,0.554
167,25,0.175,0.164,1.0,1.338
16,25,0.178,0.107,1.0,1.31
17,25,0.267,0.125,1.0,1.32
167,50,0.102,0.347,0.96,3.046
16,50,0.109,0.165,0.96,3.119
17,50,0.164,0.068,1.0,3.145
167,100,0.05,0.029,1.0,8.496
16,100,0.066,0.032,1.0,8.53
17,100,0.148,0.039,1.0,8.568
167,250,0.034,0.018,1.0,39.966
16,250,0.03,0.015,1.0,40.981
17,250,0.099,0.02,1.0,40.699
167,500,0.023,0.009,1.0,146.674
16,500,0.05,0.008,1.0,145.332
17,500,1342854.974,5.877683317794852e+16,0.852,146.344
