random_seed,num_steps,mae_a,mae_h,accuracy,runtime
167,10,3.552,3.56,1.0,0.291
16,10,36.159,3.591,1.0,0.289
17,10,43.304,6.941,1.0,0.288
167,25,3.686,4.56,1.0,0.666
16,25,10.038,2.909,1.0,0.681
17,25,10.967,2.686,1.0,0.664
167,50,4.005,3.383,1.0,1.652
16,50,4.647,3.716,0.9,1.655
17,50,4.507,2.685,1.0,1.689
167,100,4.105,3.741,0.98,5.023
16,100,6.743,4.359,0.94,4.992
17,100,5.665,3.038,1.0,5.064
167,250,21.455,9.809,1.0,26.484
16,250,173.12,97.24,0.792,26.474
17,250,380.705,133.168,0.924,26.718
167,500,1364.286,378.565,0.996,99.672
16,500,9681.858,414490.061,0.47,102.586
17,500,3392189.726,4.885273900072605e+18,0.852,139.98
