num_steps,method_name,random_seed,treatment_effect_bias,accuracy
60,our+mle,167,3.119566827081144e-13,1.0
60,our+mle,16,3.119566827081144e-13,1.0
60,our+mle,17,3.119566827081144e-13,1.0
60,our+mle,42,3.119566827081144e-13,1.0
60,our+mle,201,3.119566827081144e-13,1.0
80,our+mle,167,4.447429091669619e-13,1.0
80,our+mle,16,4.447429091669619e-13,1.0
80,our+mle,17,4.447429091669619e-13,1.0
80,our+mle,42,4.447429091669619e-13,1.0
80,our+mle,201,4.447429091669619e-13,1.0
100,our+mle,167,3.8835423765704035e-13,1.0
100,our+mle,16,3.8835423765704035e-13,1.0
100,our+mle,17,3.8835423765704035e-13,1.0
100,our+mle,42,3.8835423765704035e-13,1.0
100,our+mle,201,3.8835423765704035e-13,1.0
60,mst+mle,167,3.119566827081144e-13,0.9666666666666668
60,mst+mle,16,3.155946615152061e-13,0.8666666666666669
60,mst+mle,17,3.083187039010227e-13,0.7333333333333333
60,mst+mle,42,3.283275873400271e-13,0.6972
60,mst+mle,201,7.557900971733033e-13,0.0
80,mst+mle,167,4.3382897274568675e-13,0.62
80,mst+mle,16,4.483808879740536e-13,0.8964000000000002
80,mst+mle,17,4.4656189857050776e-13,0.4500000000000001
80,mst+mle,42,4.829416866414249e-13,0.325
80,mst+mle,201,6.157279131002725e-13,0.125
100,mst+mle,167,3.956301952712238e-13,0.6998399999999999
100,mst+mle,16,3.956301952712238e-13,0.8448000000000002
100,mst+mle,17,5.44787326361984e-13,0.25688
100,mst+mle,42,5.866240826435387e-13,0.1984
100,mst+mle,201,7.030394044704735e-13,0.07968
60,dpt+mle,167,3.828972694464028e-13,0.8333333333333334
60,dpt+mle,16,3.828972694464028e-13,0.8333333333333334
60,dpt+mle,17,3.828972694464028e-13,0.8333333333333334
60,dpt+mle,42,3.828972694464028e-13,0.8333333333333334
60,dpt+mle,201,3.828972694464028e-13,0.8333333333333334
80,dpt+mle,167,4.3382897274568675e-13,0.825
80,dpt+mle,16,4.3382897274568675e-13,0.825
80,dpt+mle,17,4.3382897274568675e-13,0.825
80,dpt+mle,42,4.3382897274568675e-13,0.825
80,dpt+mle,201,4.3382897274568675e-13,0.825
100,dpt+mle,167,7.812559488229453e-13,0.13
100,dpt+mle,16,7.812559488229453e-13,0.13
100,dpt+mle,17,7.812559488229453e-13,0.13
100,dpt+mle,42,7.812559488229453e-13,0.13
100,dpt+mle,201,7.812559488229453e-13,0.13
